order,smiles,scaffold,in_25_percent,in_50_percent,in_100_percent
1,Cc1cccc(CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)n1,c1ccc(B(Cc2ccccn2)c2ccccc2)cc1,True,True,True
2,CC(C)(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(c1ccccc1)N1CCCCC1,c1ccc(B(CC(c2ccccc2)N2CCCCC2)c2ccccc2)cc1,True,True,True
3,c1ccc(B(c2ccccc2)c2ccccc2N(c2ccccc2)c2ccccc2)cc1,c1ccc(B(c2ccccc2)c2ccccc2N(c2ccccc2)c2ccccc2)cc1,True,True,True
4,CC1CC(C)(C)N(Cc2ccccc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc21,c1ccc(B(c2ccccc2)c2ccccc2CN2CCCc3ccccc32)cc1,True,True,True
5,Cc1cc(C)c(-c2cccc(-c3c(C)cc(C)cc3C)c2P2CCC(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)C2)c(C)c1,c1ccc(B(c2ccccc2)C2CCP(c3c(-c4ccccc4)cccc3-c3ccccc3)C2)cc1,True,True,True
6,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc3c4c(ccc(P(c5ccccc5)c5ccccc5)c24)CC3)c(C)c1,c1ccc(B(c2ccccc2)c2ccc3c4c(ccc(P(c5ccccc5)c5ccccc5)c24)CC3)cc1,True,True,True
7,ClB(c1ccccc1Cl)c1ccccc1P(C1CCCCC1)C1CCCCC1,B(c1ccccc1)c1ccccc1P(C1CCCCC1)C1CCCCC1,True,True,True
8,Cc1cc(C)c(PC(=CC(C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C=C(Pc1ccccc1)B(c1ccccc1)c1ccccc1,True,True,True
9,CC1(C)OB(c2ccccc2P(c2ccccc2)c2ccccc2)OC1(C)C,c1ccc(P(c2ccccc2)c2ccccc2B2OCCO2)cc1,True,True,True
10,CCC1(CC)CC(CC)(CC)c2c1cc1c(c2P2CCB(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)C2C)C(CC)(CC)CC1(CC)CC,c1ccc(B2CCP(c3c4c(cc5c3CCC5)CCC4)C2)cc1,True,True,True
11,CCN(CC)C(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccccc1,c1ccc(CCB(c2ccccc2)c2ccccc2)cc1,True,True,True
12,Cc1cc(C)c(C2C=C(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)C(P(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)=C3CCCCC32)c(C)c1,C1=C(B(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C2CCCCC2C1c1ccccc1,True,True,True
13,CC1(C)C2CCC1C(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C2B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(c2ccccc2)C2C3CCC(C3)C2c2ccccc2)cc1,True,True,True
14,CC1(C)COCC(C)(C)N1Cc1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc(B(c2ccccc2)c2ccccc2CN2CCOCC2)cc1,True,True,True
15,CC(C)(C)P(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,B(c1ccccc1)c1ccccc1,True,True,True
16,CC(C)P(c1ccccc1B1Oc2ccccc2O1)C(C)C,c1ccc(B2Oc3ccccc3O2)cc1,True,True,True
17,Cc1cc(C)c(P(c2cccc3c2Oc2c(B(c4c(F)c(F)c(F)c(F)c4F)c4c(F)c(F)c(F)c(F)c4F)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,c1ccc(B(c2ccccc2)c2cccc3c2Oc2c(cccc2P(c2ccccc2)c2ccccc2)C3)cc1,True,True,True
18,c1ccc(B(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,c1ccc(B(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,True,True,True
19,Clc1c(Cl)c(Cl)c(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,c1ccc(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,True,True
20,CC1(C)CCCC(C)(C)N1Cc1ccccc1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(c2ccccc2)c2ccccc2CN2CCCCC2)cc1,True,True,True
21,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,c1ccc(B(c2ccccc2)C2CCCC2P(c2ccccc2)c2ccccc2)cc1,True,True,True
22,CC(C)C1CCC2(C)c3ccccc3N(Cc3ccccc3B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)C2(c2ccccc2)C1,c1ccc(B(c2ccccc2)c2ccccc2CN2c3ccccc3C3CCCCC32c2ccccc2)cc1,True,True,True
23,COB(OC)c1ccccc1P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,c1ccc(P(c2ccccc2)c2ccccc2)cc1,True,True,True
24,CC(C)P(c1cccc2cccc(B3c4ccccc4-c4ccccc43)c12)C(C)C,c1ccc2c(c1)B(c1cccc3ccccc13)c1ccccc1-2,True,True,True
25,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(F)c2F)c(C)c1,c1ccc(B(c2ccccc2)c2ccc(P(c3ccccc3)c3ccccc3)cc2)cc1,True,True,True
26,CC(C)(C)c1cccc(CCCCB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)n1,c1ccc(B(CCCCc2ccccn2)c2ccccc2)cc1,True,True,True
27,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2N2CCCC2)c(F)c1F,c1ccc(B(c2ccccc2)C2CCCCC2N2CCCC2)cc1,True,True,True
28,CC=C(CP(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C=C(CP(c1ccccc1)c1ccccc1)B(c1ccccc1)c1ccccc1,True,True,True
29,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,c1ccc(B(c2ccccc2)C2CCCCC2P(c2ccccc2)c2ccccc2)cc1,True,True,True
30,Fc1c(F)c(F)c(B(CCP(CCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,c1ccc(B(CCP(CCB(c2ccccc2)c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,True,True
31,CC1(C)CCCC(C)(C)N1c1ccccc1B(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,B(c1ccccc1)c1ccccc1N1CCCCC1,True,True,True
32,CC1(C)C2CCC1C(N1CCCCC1)C2B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccc(B(c2ccccc2)C2C3CCC(C3)C2N2CCCCC2)cc1,True,True,True
