raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,is_strict_flp_like,review_reason,review_id,decision,in_old_train
CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,True,CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,[],True,[],0,35,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R007,discard,False
Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,True,Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,[],True,[],0,35,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R008,discard,False
C[Si](C)(Cl)N1CCCN2CCCN=C21,True,C[Si](C)(Cl)N1CCCN2CCCN=C21,C[Si](C)(Cl)N1CCCN2CCCN=C21,[],True,[],0,14,True,True,False,True,[],['LB_amine'],[],[],LB_only,,False,no_LA,R022,discard,False
CC(C)(C)P(C[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,True,CC(C)(C)P(C[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,CC(C)(C)P(C[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,[],True,[],0,44,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R023,discard,False
CC(C)(C)P(C[Si](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,True,CC(C)(C)P(C[Si](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,CC(C)(C)P(C[Si](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,[],True,[],0,44,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R024,discard,False
CC(C)(C)P(C[Si](F)(F)F)C(C)(C)C,True,CC(C)(C)P(C[Si](F)(F)F)C(C)(C)C,CC(C)(C)P(C[Si](F)(F)F)C(C)(C)C,[],True,[],0,14,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R025,discard,False
CC(C)(C)P(C[Si](Cl)(Cl)Cl)C(C)(C)C,True,CC(C)(C)P(C[Si](Cl)(Cl)Cl)C(C)(C)C,CC(C)(C)P(C[Si](Cl)(Cl)Cl)C(C)(C)C,[],True,[],0,14,True,True,False,True,[],['LB_phosphine'],[],[],LB_only,,False,no_LA,R026,discard,False
CC(c1ccc(Br)cc1)(c1ccn(C(C)(C)C)c1)c1ccn(C(C)(C)C)c1,True,CC(c1ccc(Br)cc1)(c1ccn(C(C)(C)C)c1)c1ccn(C(C)(C)C)c1,CC(c1ccc(Br)cc1)(c1ccn(C(C)(C)C)c1)c1ccn(C(C)(C)C)c1,[],True,[],0,27,True,True,False,True,[],['LB_aromatic_N'],[],[],LB_only,,False,no_LA,R027,discard,True
Cc1cc(C)c(P(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,True,Cc1cc(C)c(P(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,[],True,[],0,43,True,True,True,False,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",[],['LB_other_P'],[],LA_only,,False,no_LB,R028,discard,True
Cc1cc(C)c(P(OB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,True,Cc1cc(C)c(P(OB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(OB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,[],True,[],0,43,True,True,True,False,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",[],['LB_other_P'],[],LA_only,,False,no_LB,R029,discard,True
