source,template,lb_atom,lb_substituent_1,lb_substituent_2,la_substituent_1,la_substituent_2,linker,raw_smiles,canonical_smiles,novel_vs_seed,snn_to_seed
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,phenyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccccc1)(c1ccccc1),c1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.40540540540540543
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,phenyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccccc1)(c1ccccc1),c1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.4857142857142857
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,phenyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccccc1)(c1ccccc1),c1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.5882352941176471
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,phenyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccccc1)(c1ccccc1),c1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.6666666666666666
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,phenyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccccc1)(c1ccccc1),c1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.6470588235294118
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,phenyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccccc1)(c1ccccc1),c1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.6470588235294118
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,p_tolyl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccccc1)(c1ccc(C)cc1),Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.38095238095238093
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,p_tolyl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccccc1)(c1ccc(C)cc1),Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.4146341463414634
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,p_tolyl,C3,P(c1ccccc1)(c1ccccc1)CCCB(c1ccccc1)(c1ccc(C)cc1),Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.5
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,p_tolyl,C4,P(c1ccccc1)(c1ccccc1)CCCCB(c1ccccc1)(c1ccc(C)cc1),Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.5641025641025641
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,p_tolyl,C5,P(c1ccccc1)(c1ccccc1)CCCCCB(c1ccccc1)(c1ccc(C)cc1),Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.55
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,p_tolyl,C6,P(c1ccccc1)(c1ccccc1)CCCCCCB(c1ccccc1)(c1ccc(C)cc1),Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,0.55
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,mesityl,C1,P(c1ccccc1)(c1ccccc1)CB(c1ccccc1)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,0.3877551020408163
template_augmentation,intramolecular_P_B_alkyl,P,phenyl,phenyl,phenyl,mesityl,C2,P(c1ccccc1)(c1ccccc1)CCB(c1ccccc1)(c1c(C)cc(C)cc1C),Cc1cc(C)c(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)c(C)c1,True,0.4318181818181818
