review_id,model,training_molecules,canonical_smiles
E003,GP-MoLFormer,42,CCC1(CC)CCC(CC)(CC)N1Cc1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
E004,GP-MoLFormer,42,COB(OC)c1ccccc1P(C1CCCCC1)C(C)(C)C
E007,GP-MoLFormer,42,c1ccc(B(c2ccccc2)c2cccc(P(c3ccccc3)c3ccccc3)c2)cc1
E020,GP-MoLFormer,42,Cc1ccc(P(c2ccc(C)cc2)c2c(-c3ccccc3)ccc(-c3ccccc3)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1
E035,GP-MoLFormer,42,Fc1c(F)c(F)c(B(CCP(CCB(CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
E041,GP-MoLFormer,42,Fc1c(F)c(F)c(B(Cc2ccccc2B(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2N2CCCCC2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
E058,GP-MoLFormer,42,Cc1cc(C)c(PC2CCCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1
E060,GP-MoLFormer,42,Fc1c(Br)c(Br)c(Br)c(Br)c1B(c1c(Br)c(Br)c(Br)c(P(c2ccccc2)c2ccccc2)c1Br)C1CC(P(c2ccccc2)c2ccccc2)c2ccccc21
E062,GP-MoLFormer,42,ClB(c1ccccc1Cl)c1ccccc1P(C1CCCCC1)C1CC(CP(C2CCCCC2)C2CCCCC2)CCC1Cl
E063,GP-MoLFormer,42,CC1(C)C[C](C)([AlH2])C(C)(C)N1Cc1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
E021,MolGPT,42,CC1(C)CC(N2CCCCC2)C1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
E025,MolGPT,42,CC(C)(C)P(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E031,MolGPT,42,Cc1cc(C)c(P(c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1
E036,MolGPT,42,Cc1cc(C)c(B(c2ccccc2)c2cccc3cccc(P(C(C)C)C(C)C)c23)c(C)c1
E039,MolGPT,42,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2P(C2CCCCC2)C2CCCCC2)c(F)c1F
E048,MolGPT,42,Clc1c(Cl)c(Cl)c(B(CP(c2ccccc2)C2CCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
E052,MolGPT,42,Cc1cc(C)c(-c2cc(C)cc(C)c2P(CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1
E053,MolGPT,42,COB(OC)c1ccccc1P(c1cc(C)cc(C)c1C)c1c(C)cc(C)cc1C
E061,MolGPT,42,CC1(N2CCCCC2)CCCC1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
E065,MolGPT,42,Cc1cc(C)c(-c2cc(C)cc(C)c2P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(Cl)c(Cl)c(C)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1
E066,MolGPT,42,Cc1nc(CB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)nn1C(C)(C)C
E069,MolGPT,42,COB(OC)c1ccccc1P(c1cc(C)c(C)cc1C)c1c(C)cc(C)cc1C
E005,REINVENT,42,Cc1cc(C)c(P(c2ccccc2B(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1
E008,REINVENT,42,Cc1cc(C)c(P2CC3CCCC2C3B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1
E011,REINVENT,42,CCc1cc(C)cc(C)c1P(c1ccccc1B(Cl)c1ccccc1Cl)c1c(C)cc(C)cc1C
E014,REINVENT,42,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C(C)c2c(F)c(F)c(F)c(F)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1
E018,REINVENT,42,Cc1cc(C)c(P(c2cc(F)c(B(O)O)c(F)c2)c2c(C)cc(C)cc2C)c(C)c1
