metric,mean,sd
raw_n,1000.0,0.0
validity,0.07466666666666667,0.005686240703077326
unique_valid_n,28.0,2.6457513110645907
unique_valid_yield,0.027999999999999997,0.002645751311064591
chemically_sane_fraction,0.42529791992157584,0.051990100249592
neutral_fraction,1.0,0.0
strict_flp_n,0.0,0.0
strict_flp_yield,0.0,0.0
novel_flp_n,0.0,0.0
novel_flp_yield,0.0,0.0
final_candidate_n,0.0,0.0
final_candidate_yield,0.0,0.0
novelty_vs_all_seed,1.0,0.0
novelty_vs_templates,1.0,0.0
novelty_vs_all_reference,1.0,0.0
stereo_novelty_vs_all_reference,1.0,0.0
near_duplicate_095,0.0,0.0
mean_snn_to_train,0.19459997693307915,0.004668428469755341
internal_diversity,0.880698224961936,0.015657990063813895
scaffold_novelty_vs_train,0.6669590643274854,0.01710713739919307
