generated_smiles,reached_max_length
Fc1c(C)c2ccccc1,False
Cc1cc(C)cc2C(C)(C)CB(c2c(Cl)c(Cl)c(Cl)c(B(CCC(C)(C)c1,False
Clc1c(C)cc(C)cc2C)c2c(Cl)c(C(F)(F)F)cccc1,False
CC(C)(C)B(c2c(Cl)c1Cl,False
ClB(c1cccccc2cccc(C)cc(C)cc(C)cc(C)cc1,False
CC(C)(C)c(N(c2c(F)c(B(c2cccccc2P(C2=CC(c3c(F)c(F)c(F)c(F)c(F)c1F)C(P(c3c(C)cc(C)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1c(F)c(F)c(F)c2F)c2F)c(F)c(F)c(F)c(F)c(F)c(F)c(B(c2c(C)c1c(Cl)c,True
Cc1cc(C)cc2C)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(C)c1c(F)c1c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(C)c3cccc1,False
CC(=C(B(c1cccc1)c1cc(C)c1,False
Cc1cccc3c2oc2c(F)c1F,False
CC(C)CB(c3cccccc(B2c3cc(C)c(P(CCC(CB(c2c(C)c(C)cc2C)c(C=C(CP(c1ccccc2)c2c(F)c(F)c(F)c(B(CCCCC3)C2B(c2c(F)c1F)=C(c1c(Cl)c1Cl)c3Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1ccccc2)c(Cl)c,True
Cc1ccccc3cccc3)c3ccccc3)c3cccc(C)c(Cl)c(Cl)c2c(P(CCC(B(c1c(F)c(F)c(F)c3cccc4cccc(C)cc1C)c1cc(C)cc1C,False
Fc1c(F)c(F)c(F)c2F)c2F)c2F)c2F)c(F)c(F)c(F)c(F)c(F)c3F)c2c(B(c1ccc(B(c1cc(C)cc(C)cc(C)cc1,False
Cc1cccccccc4ccccccc(C)cc(C(=C(B(c3ccccc2)c2cccc43)c12)C(C)(C)C,False
Cc1cccc4)cccc2N(Cc3ccccc2)c2c(Cl)c(Cl)c(C(F)(F)F)c3F)c3c(F)c1F,False
CC(B(c2ccccc4cccc2C)c([P+]2(c3c(Cl)c(Cl)c(Cl)c1cc(C)c1,False
CC(C)C)cc1C,False
Cc1cc(C(C)C,False
CC(C)C,False
Cc1ccccccc2)c(Cl)c(Cl)c(Cl)c(C)c2P2CCB(c1c(F)c(F)c(F)c(F)c(F)c2c(Cl)c(Cl)c(Cl)c1c(F)c1F)(c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F)c2F)c2F)c2F)N2CCC1)C,True
CN1c2c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c(Cl)c3c(C)cc2C)c2c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(C)c2c(F)c(F)c(F)c(F)c(F)c(F)c2c(F)c(F)c(F)c3F)c(F)c1,False
Cc1cc(C)c1,False
Cc1ccccccc(B(c1c(C)cc(C)c(P(c2cccc1,False
