lb_atom,linker,n,candidate_yield,mean_snn
N,C1,315,0.3904761904761905,0.3824621794796094
N,C2,315,0.326984126984127,0.3717802535043624
N,C3,315,0.25396825396825395,0.3663213915099973
N,C4,315,0.2571428571428571,0.3706170718760945
N,C5,315,0.2222222222222222,0.3632727320201576
N,C6,315,0.2222222222222222,0.3632727320201576
P,C1,315,0.780952380952381,0.4688585591155173
P,C2,315,0.7841269841269841,0.4720485152573407
P,C3,315,0.6857142857142857,0.46324158742929517
P,C4,315,0.7523809523809524,0.48859617402104905
P,C5,315,0.7365079365079366,0.4781797351270173
P,C6,315,0.7365079365079366,0.4781797351270173
