lb_atom,lb_substituent_1,lb_substituent_2,linker,la_substituent_1,la_substituent_2,fragment_tokens,raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,is_unique_valid,generation_count,snn_to_train,novel_vs_train,novel_vs_all_seed,novel_vs_templates,novel_vs_all_reference,stereo_novel_vs_train,stereo_novel_vs_all_reference,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,no_negative_flags,is_strict_flp_like,is_novel_flp_like,is_final_candidate,is_fragment_candidate,generation_seed,sample_count
P,mesityl,mesityl,C1,p_tolyl,p_tolyl,<LB_P><LB1_mesityl><LB2_mesityl><LINKER_C1><LA1_p_tolyl><LA2_p_tolyl>,Cc1ccc(B(CP(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2ccc(C)cc2)cc1,True,Cc1ccc(B(CP(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2ccc(C)cc2)cc1,Cc1ccc(B(CP(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2ccc(C)cc2)cc1,[],True,1,0.42857142857142855,True,True,False,False,True,False,True,[],0,35,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True,101,2
P,phenyl,tert_butyl,C3,p_tolyl,bis_cf3_phenyl,<LB_P><LB1_phenyl><LB2_tert_butyl><LINKER_C3><LA1_p_tolyl><LA2_bis_cf3_phenyl>,Cc1ccc(B(CCCP(c2ccccc2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,Cc1ccc(B(CCCP(c2ccccc2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,Cc1ccc(B(CCCP(c2ccccc2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,[],True,1,0.42,True,True,False,False,True,False,True,[],0,36,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,4,True,True,False,False,True,101,1
P,cyclohexyl,isopropyl,C1,mesityl,mesityl,<LB_P><LB1_cyclohexyl><LB2_isopropyl><LINKER_C1><LA1_mesityl><LA2_mesityl>,Cc1cc(C)c(B(CP(C(C)C)C2CCCCC2)c2c(C)cc(C)cc2C)c(C)c1,True,Cc1cc(C)c(B(CP(C(C)C)C2CCCCC2)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(B(CP(C(C)C)C2CCCCC2)c2c(C)cc(C)cc2C)c(C)c1,[],True,1,0.42857142857142855,True,True,False,False,True,False,True,[],0,30,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True,101,1
P,tert_butyl,cyclohexyl,C2,p_tolyl,bis_cf3_phenyl,<LB_P><LB1_tert_butyl><LB2_cyclohexyl><LINKER_C2><LA1_p_tolyl><LA2_bis_cf3_phenyl>,Cc1ccc(B(CCP(C2CCCCC2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,True,Cc1ccc(B(CCP(C2CCCCC2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,Cc1ccc(B(CCP(C2CCCCC2)C(C)(C)C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,[],True,1,0.4117647058823529,True,True,False,False,True,False,True,[],0,35,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True,101,1
P,tert_butyl,cyclohexyl,C4,mesityl,pentachlorophenyl,<LB_P><LB1_tert_butyl><LB2_cyclohexyl><LINKER_C4><LA1_mesityl><LA2_pentachlorophenyl>,Cc1cc(C)c(B(CCCCP(C2CCCCC2)C(C)(C)C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,True,Cc1cc(C)c(B(CCCCP(C2CCCCC2)C(C)(C)C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c(B(CCCCP(C2CCCCC2)C(C)(C)C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,[],True,1,0.4423076923076923,True,True,False,False,True,False,True,[],0,36,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True,101,1
P,mesityl,isopropyl,C3,pentafluorophenyl,pentachlorophenyl,<LB_P><LB1_mesityl><LB2_isopropyl><LINKER_C3><LA1_pentafluorophenyl><LA2_pentachlorophenyl>,Cc1cc(C)c(P(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C(C)C)c(C)c1,True,Cc1cc(C)c(P(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C(C)C)c(C)c1,Cc1cc(C)c(P(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C(C)C)c(C)c1,[],True,1,0.5625,True,True,False,False,True,False,True,[],0,39,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,4,True,True,False,False,True,101,2
N,phenyl,phenyl,C6,mesityl,pentafluorophenyl,<LB_N><LB1_phenyl><LB2_phenyl><LINKER_C6><LA1_mesityl><LA2_pentafluorophenyl>,Cc1cc(C)c(B(CCCCCCN(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,Cc1cc(C)c(B(CCCCCCN(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(B(CCCCCCN(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,[],True,1,0.4897959183673469,True,True,False,False,True,False,True,[],0,40,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_amine'],[],[],LA_LB_no_negative_flags,7,True,True,False,False,True,101,2
P,phenyl,phenyl,C4,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C4><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.55,True,True,False,False,True,False,True,[],0,31,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True,101,1
P,cyclohexyl,isopropyl,C4,mesityl,pentafluorophenyl,<LB_P><LB1_cyclohexyl><LB2_isopropyl><LINKER_C4><LA1_mesityl><LA2_pentafluorophenyl>,Cc1cc(C)c(B(CCCCP(C(C)C)C2CCCCC2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,True,Cc1cc(C)c(B(CCCCP(C(C)C)C2CCCCC2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(B(CCCCP(C(C)C)C2CCCCC2)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,[],True,1,0.5294117647058824,True,True,False,False,True,False,True,[],0,35,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True,101,1
P,mesityl,isopropyl,C5,phenyl,mesityl,<LB_P><LB1_mesityl><LB2_isopropyl><LINKER_C5><LA1_phenyl><LA2_mesityl>,Cc1cc(C)c(B(CCCCCP(c2c(C)cc(C)cc2C)C(C)C)c2ccccc2)c(C)c1,True,Cc1cc(C)c(B(CCCCCP(c2c(C)cc(C)cc2C)C(C)C)c2ccccc2)c(C)c1,Cc1cc(C)c(B(CCCCCP(c2c(C)cc(C)cc2C)C(C)C)c2ccccc2)c(C)c1,[],True,1,0.43137254901960786,True,True,False,False,True,False,True,[],0,34,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,6,True,True,False,False,True,101,1
