lb_atom,lb_substituent_1,lb_substituent_2,linker,la_substituent_1,la_substituent_2,fragment_tokens,canonical_smiles
P,phenyl,phenyl,C1,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C1><LA1_phenyl><LA2_phenyl>,c1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C2,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C2><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C3,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C3><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C4,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C4><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C5,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C5><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C6,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C6><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C1,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C1><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C2,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C2><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C3,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C3><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C4,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C4><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C5,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C5><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
P,phenyl,phenyl,C6,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C6><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
