lb_atom,lb_substituent_1,lb_substituent_2,linker,la_substituent_1,la_substituent_2,fragment_tokens,raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,is_unique_valid,generation_count,snn_to_train,novel_vs_train,novel_vs_all_seed,novel_vs_templates,novel_vs_all_reference,stereo_novel_vs_train,stereo_novel_vs_all_reference,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,no_negative_flags,is_strict_flp_like,is_novel_flp_like,is_final_candidate,is_fragment_candidate
P,phenyl,phenyl,C1,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C1><LA1_phenyl><LA2_phenyl>,c1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,c1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,c1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.40540540540540543,True,True,False,False,True,False,True,[],0,27,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,True
P,phenyl,phenyl,C2,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C2><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,c1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,c1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.4722222222222222,True,True,False,False,True,False,True,[],0,28,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True
P,phenyl,phenyl,C3,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C3><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,c1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,c1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.5714285714285714,True,True,False,False,True,False,True,[],0,29,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,4,True,True,False,False,True
P,phenyl,phenyl,C4,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C4><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,c1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,c1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.6470588235294118,True,True,False,False,True,False,True,[],0,30,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True
P,phenyl,phenyl,C5,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C5><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,c1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,c1ccc(B(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.6285714285714286,True,True,False,False,True,False,True,[],0,31,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,6,True,True,False,False,True
P,phenyl,phenyl,C6,phenyl,phenyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C6><LA1_phenyl><LA2_phenyl>,c1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,c1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,c1ccc(B(CCCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.6285714285714286,True,True,False,False,True,False,True,[],0,32,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,7,True,True,False,False,True
P,phenyl,phenyl,C1,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C1><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(B(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.38095238095238093,True,True,False,False,True,False,True,[],0,28,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,2,True,True,False,False,False
P,phenyl,phenyl,C2,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C2><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(B(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.40476190476190477,True,True,False,False,True,False,True,[],0,29,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,3,True,True,False,False,True
P,phenyl,phenyl,C3,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C3><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(B(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.4878048780487805,True,True,False,False,True,False,True,[],0,30,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,4,True,True,False,False,True
P,phenyl,phenyl,C4,phenyl,p_tolyl,<LB_P><LB1_phenyl><LB2_phenyl><LINKER_C4><LA1_phenyl><LA2_p_tolyl>,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Cc1ccc(B(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[],True,1,0.55,True,True,False,False,True,False,True,[],0,31,True,True,True,True,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],[],[],LA_LB_no_negative_flags,5,True,True,False,False,True
