blind_id,canonical_smiles,panel_class,source_id,decoy_reason,model,fraction
B001,Cc1cc(C)c(P(OB(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(C)cc(C)cc2C)c(C)c1,decoy,R029,no_LB,,
B002,Clc1c(Cl)c(Cl)c(B(OP(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,decoy,R031,no_LB,,
B003,Cc1ccc(P(c2ccccc2)c2ccccc2B2Oc3ccccc3O2)c(C)c1,model_candidate,E047,,GP-MoLFormer,100.0
B004,CC(C)(C)P(C[Si](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,decoy,R024,no_LA,,
B005,CN(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,model_candidate,E013,,GP-MoLFormer,100.0
B006,Cc1cc(C)c(-c2cc(C)cc(C)c2P(c2c(C)cc(C)cc2C)C2CCCC2B(c2c(Cl)c(Cl)c(C)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,model_candidate,E065,,MolGPT,25.0
B007,Cc1cc(C)c(P[C](=CC(C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C)c(C)c1,decoy,R008,no_LA,,
B008,CC(C)N(B(N(C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)C(C)C,decoy,R061,"direct_B_N_bond, direct_B_P_bond",,
B009,Cc1cc(C)c(P2CC3CCCC2C3B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,model_candidate,E008,,REINVENT,25.0
B010,Bc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,decoy,R035,no_LA_or_LB,,
B011,COB(OC)c1ccccc1P(C1CCCCC1)C(C)(C)C,model_candidate,E004,,GP-MoLFormer,25.0
B012,Cc1cc(C)c(P(OB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,decoy,R028,no_LB,,
B013,C1CCC(B(C2CCCCC2)N2CCCN3CCCN=C32)CC1,decoy,R060,direct_B_N_bond,,
B014,COB(OC)c1ccccc1P(c1cc(C)c(C)cc1C)c1c(C)cc(C)cc1C,model_candidate,E069,,MolGPT,25.0
B015,Fc1c(F)c(F)c(B(CCP(CCB(CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,model_candidate,E035,,GP-MoLFormer,25.0
B016,CC(C)OP(=O)(C=[C](c1ccccc1)[Ge]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1)OC(C)C,decoy,R072,phosphine_oxide_or_sulfide,,
B017,CC1(C)B(c2ccccc2P(C2CCCCC2)C2CCCCC2)C(C)(C)C1(C)C,model_candidate,E072,,GP-MoLFormer,100.0
B018,CCN(CC)C(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1ccccc1)c1c(C)cc(C)cc1C,model_candidate,E067,,REINVENT,100.0
B019,Clc1c(Cl)c(Cl)c(B(CP(CCP(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,model_candidate,E006,,GP-MoLFormer,100.0
B020,CC1(C)CC(N2CCCCC2)C1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,model_candidate,E021,,MolGPT,25.0
B021,CC(c1ccc(Br)cc1)(c1ccn(C(C)(C)C)c1)c1ccn(C(C)(C)C)c1,decoy,R027,no_LA,,
B022,Cc1ccc(SC(=CC(C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1,decoy,R032,no_LB,,
B023,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(CP(C(C)(C)C)C(C)(C)C)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,model_candidate,E009,,REINVENT,100.0
B024,CCN(CC)Cc1ccccc1B(Cl)Cl,model_candidate,E001,,MolGPT,100.0
B025,Fc1c(F)c(F)c(B(c2ccccc2P(c2ccccc2)c2cccc3c2C2=CC=CC3=CC=C2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,model_candidate,E034,,MolGPT,100.0
B026,Cc1ccc(SC(=CC(C)(C)C)B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,decoy,R033,no_LB,,
B027,Cc1cc(C)c(P(c2ccccc2)c2ccccc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,model_candidate,E015,,MolGPT,100.0
B028,CC1(C)COCC(C)(C)N1Cc1ccccc1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Br)c1Br,model_candidate,E071,,REINVENT,100.0
B029,Fc1c(F)c(F)c(B(OP(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,decoy,R030,no_LB,,
B030,Cc1cc(C)c(P(c2ccccc2B(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,model_candidate,E005,,REINVENT,25.0
B031,Cc1cc(C)c(B(c2ccc(CC(C)C)cc2P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,model_candidate,E002,,REINVENT,100.0
B032,Cc1ccc(P(c2ccc(C)cc2)c2c(-c3ccccc3)ccc(-c3ccccc3)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1,model_candidate,E020,,GP-MoLFormer,25.0
B033,Cc1ccc(B(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)c(C)c1,model_candidate,E032,,MolGPT,100.0
B034,CC(C)(C)P(C[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,decoy,R023,no_LA,,
B035,C[Si](C)(Cl)N1CCCN2CCCN=C21,decoy,R022,no_LA,,
B036,CB1N2C(=CN3CCC(C)(C)N=C32)CCC1(C)C,decoy,R058,direct_B_N_bond,,
B037,Bc1c(F)c(F)c(F)c(F)c1F,decoy,R034,no_LA_or_LB,,
B038,CCC1(CC)CCC(CC)(CC)N1Cc1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,model_candidate,E003,,GP-MoLFormer,25.0
B039,CC(C)(C)P(C[Si](F)(F)F)C(C)(C)C,decoy,R025,no_LA,,
B040,CC(C)(C)P(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,model_candidate,E025,,MolGPT,25.0
B041,Fc1c(F)c(F)c(B(CC(c2ccccc2)N2CCCCC2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F,model_candidate,E064,,REINVENT,25.0
B042,CC(C)(C)C=[C](PC([Si](C)(C)C)[Si](C)(C)C)[Al]([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,decoy,R007,no_LA,,
B043,C1CC2CCCC(C1)B2N1CCCN2CCCN=C21,decoy,R059,direct_B_N_bond,,
B044,CC(C)(C)P(C[Si](Cl)(Cl)Cl)C(C)(C)C,decoy,R026,no_LA,,
B045,Cc1cc(C)c(P(c2c(C)cc(C)c(C)c2C)C2C3CCC(C3)C2B(c2c(C)cccc2C)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,model_candidate,E051,,REINVENT,25.0
