family,fraction,train_molecules,training_seed,best_step,best_exposures,best_validation_bpc
P0,25,42,11,70,4480,0.3772206391163588
P0,25,42,22,70,4480,0.4005672387229303
P0,25,42,33,60,3840,0.392263661668806
P1,25,42,11,80,5120,0.3234876946773497
P1,25,42,22,70,4480,0.3529375184956771
P1,25,42,33,60,3840,0.356934544259927
P5,25,42,11,50,3200,0.3667135314449717
P5,25,42,22,60,3840,0.3387344023496564
P5,25,42,33,70,4480,0.3391937958396668
scratch,25,42,11,125,8000,1.0246136495975342
scratch,25,42,22,125,8000,1.031735555680757
scratch,25,42,33,125,8000,1.0431850786261396
P0,50,83,11,100,6400,0.2376818782622241
P0,50,83,22,125,8000,0.2576419949197865
P0,50,83,33,120,7680,0.2345714516935784
P1,50,83,11,90,5760,0.2223374027574734
P1,50,83,22,110,7040,0.2259331575596245
P1,50,83,33,120,7680,0.2203745373340456
P5,50,83,11,100,6400,0.2189380293183676
P5,50,83,22,90,5760,0.2315297316934208
P5,50,83,33,125,8000,0.2141747753962565
scratch,50,83,11,125,8000,1.0472515028937337
scratch,50,83,22,125,8000,1.003451718976593
scratch,50,83,33,125,8000,1.0379435952096023
P0,100,166,11,125,8000,0.2257369812143143
P0,100,166,22,125,8000,0.233937972519219
P0,100,166,33,125,8000,0.215571202444715
P1,100,166,11,120,7680,0.2180234964563509
P1,100,166,22,125,8000,0.2382228688108194
P1,100,166,33,125,8000,0.2089279871458225
P5,100,166,11,120,7680,0.2111045066764809
P5,100,166,22,125,8000,0.2181506587065703
P5,100,166,33,125,8000,0.2045892736987483
scratch,100,166,11,125,8000,1.096314604616204
scratch,100,166,22,125,8000,1.1017435767515251
scratch,100,166,33,125,8000,1.0283277508872937
