family,fraction,training_seed,validity_delta_vs_P0,strict_flp_yield_delta_vs_P0,final_candidate_yield_delta_vs_P0
P1,25,11,0.06533333333333333,0.05666666666666667,0.024
P1,25,22,-0.018666666666666665,-0.015999999999999993,-0.012666666666666665
P1,25,33,0.01733333333333334,0.02200000000000001,0.008666666666666666
P5,25,11,0.04266666666666666,0.01666666666666667,0.005333333333333334
P5,25,22,0.048000000000000015,-0.0013333333333333322,-0.004
P5,25,33,0.030666666666666703,0.028,0.014666666666666668
scratch,25,11,-0.15066666666666667,-0.02333333333333333,-0.008
scratch,25,22,-0.15,-0.048666666666666664,-0.021333333333333333
scratch,25,33,-0.14733333333333332,-0.026,-0.007333333333333333
P1,50,11,-0.003333333333333355,0.013333333333333322,-0.0019999999999999983
P1,50,22,-0.011333333333333334,-0.016,-0.003333333333333341
P1,50,33,-0.0020000000000000573,-0.003333333333333341,-0.008
P5,50,11,0.09266666666666665,0.04266666666666666,0.016666666666666673
P5,50,22,-0.007333333333333331,-0.01733333333333334,-0.01333333333333334
P5,50,33,0.05066666666666664,0.04399999999999997,0.01733333333333334
scratch,50,11,-0.19333333333333333,-0.06533333333333334,-0.029333333333333333
scratch,50,22,-0.236,-0.10066666666666667,-0.042
scratch,50,33,-0.25933333333333336,-0.10666666666666667,-0.05466666666666667
P1,100,11,0.0020000000000000018,0.02600000000000001,0.01666666666666667
P1,100,22,0.027999999999999997,0.004666666666666666,0.003333333333333341
P1,100,33,0.011333333333333334,0.009333333333333332,0.006666666666666668
P5,100,11,0.05466666666666664,0.043333333333333335,0.03733333333333333
P5,100,22,0.04333333333333336,0.03266666666666668,0.012000000000000004
P5,100,33,0.042666666666666714,0.04533333333333332,0.03333333333333333
scratch,100,11,-0.24600000000000002,-0.084,-0.04133333333333333
scratch,100,22,-0.20466666666666666,-0.07866666666666666,-0.042666666666666665
scratch,100,33,-0.24,-0.09666666666666666,-0.04733333333333333
