prior,training_seed,best_epoch,general_bpc,main_group_bpc,flp_bpc,main_group_gap,flp_gap
P0,11,3,0.9733545740314172,3.3246284422694328,2.2130430301378308,2.351273868238016,1.2396884561064136
P0,22,3,0.9867201579680258,3.327756604891227,2.071698883108071,2.341036446923201,1.0849787251400451
P0,33,3,0.9686976734025275,3.1963871491050724,2.044656018754697,2.2276894757025447,1.0759583453521695
P0.1,11,3,0.9757616749288606,2.894378989885177,1.88852209732982,1.9186173149563168,0.912760422400959
P0.1,22,3,0.9795771110656528,2.8265827987106995,1.896878210178573,1.847005687645047,0.9173010991129203
P0.1,33,3,0.9745125584217113,2.796372692278751,1.9307044963344568,1.82186013385704,0.9561919379127456
P1,11,3,0.9759936310252034,2.3431729267582893,1.7956060095879405,1.3671792957330855,0.8196123785627368
P1,22,3,0.9796187595623588,2.585113790907905,1.7415703052085665,1.6054950313455465,0.7619515456462074
P1,33,3,0.9712390820250782,2.349516828825929,1.7441488132633964,1.378277746800851,0.7729097312383182
P5,11,3,0.9807565531085206,2.246723236572916,1.5399247017781457,1.2659666834643954,0.559168148669625
P5,22,3,0.9862268228477712,2.191622752546424,1.451030651964203,1.2053959296986525,0.464803829116432
P5,33,3,0.9760964247211364,2.1130624435057763,1.5413055987331674,1.13696601878464,0.5652091740120311
