evaluator_version,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train,B_fraction_unique_valid,P_fraction_unique_valid,N_fraction_unique_valid,Si_fraction_unique_valid,Al_fraction_unique_valid,Ge_fraction_unique_valid,main_group_fraction_unique_valid,B_and_P_or_N_fraction_unique_valid,prior,training_seed,generation_seed
2.1.1,500,0.712,356,0.712,0.9971910112359551,0.9775280898876404,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15910011474011906,0.8706761940508068,0.9606741573033708,0.0,0.0,0.9775280898876404,0.0,0.0,0.0,0.0,0.0,P0.1,11,101
2.1.1,500,0.704,352,0.704,0.9857954545454546,0.96875,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16158622623922117,0.8714834677111893,0.9314285714285714,0.0,0.0,0.96875,0.0,0.0,0.0,0.0,0.0,P0.1,11,202
2.1.1,500,0.722,361,0.722,0.9889196675900277,0.9750692520775623,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16227824659552598,0.870836806217445,0.9305555555555556,0.0,0.0,0.9556786703601108,0.0,0.0,0.0,0.0,0.0,P0.1,11,303
2.1.1,500,0.662,331,0.662,1.0,0.9667673716012085,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15810247508635883,0.8722255794752855,0.9727272727272728,0.0,0.0,0.9848942598187311,0.0,0.0,0.0,0.0,0.0,P0.1,22,101
2.1.1,500,0.608,304,0.608,0.9868421052631579,0.9736842105263158,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15777370961351256,0.8718058510946824,0.9539473684210527,0.0,0.0,0.9506578947368421,0.0,0.0,0.0,0.0,0.0,P0.1,22,202
2.1.1,500,0.64,320,0.64,0.99375,0.975,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16143938428737073,0.8708453784367687,0.953125,0.0,0.003125,0.96875,0.0,0.0,0.0,0.003125,0.0,P0.1,22,303
2.1.1,500,0.67,335,0.67,0.9880597014925373,0.9611940298507463,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1620684166104995,0.8678666204878351,0.9580838323353293,0.0,0.0,0.9701492537313433,0.0,0.0,0.0,0.0,0.0,P0.1,33,101
2.1.1,500,0.694,347,0.694,0.9913544668587896,0.9596541786743515,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16091602656810627,0.8705518152909603,0.953757225433526,0.0,0.002881844380403458,0.9567723342939481,0.0,0.0,0.0,0.002881844380403458,0.0,P0.1,33,202
2.1.1,500,0.684,342,0.684,0.9912280701754386,0.97953216374269,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1619956912334886,0.8696693466591112,0.9529411764705882,0.0,0.0,0.9824561403508771,0.0,0.0,0.0,0.0,0.0,P0.1,33,303
2.1.1,500,0.694,347,0.694,0.9971181556195965,0.9827089337175793,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16173246095456464,0.8718866817112833,0.9566473988439307,0.0,0.0,0.9769452449567724,0.0,0.0,0.0,0.0,0.0,P0,11,101
2.1.1,500,0.726,363,0.726,0.9834710743801653,0.9752066115702479,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16143892940458132,0.8740481644641648,0.9390581717451524,0.0,0.0,0.9504132231404959,0.0,0.0,0.0,0.0,0.0,P0,11,202
2.1.1,500,0.724,362,0.724,0.9917127071823204,0.9696132596685083,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16337433786179326,0.8719260962230597,0.9447513812154696,0.0,0.0,0.9613259668508287,0.0,0.0,0.0,0.0,0.0,P0,11,303
2.1.1,500,0.656,328,0.656,0.9939024390243902,0.975609756097561,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16442980504102508,0.870021060578673,0.9634146341463414,0.0,0.0,0.9634146341463414,0.0,0.0,0.0,0.0,0.0,P0,22,101
2.1.1,500,0.686,343,0.686,0.9941690962099126,0.9825072886297376,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.16155353446330328,0.8730671450389614,0.9382352941176471,0.0,0.0,0.9358600583090378,0.0,0.0,0.0,0.0,0.0,P0,22,202
2.1.1,500,0.672,336,0.672,0.9851190476190477,0.9613095238095238,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1626346644325142,0.8690365660211191,0.9641791044776119,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,P0,22,303
