prior,training_seed,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train,B_fraction_unique_valid,P_fraction_unique_valid,N_fraction_unique_valid,Si_fraction_unique_valid,Al_fraction_unique_valid,Ge_fraction_unique_valid,main_group_fraction_unique_valid,B_and_P_or_N_fraction_unique_valid
P0,11,500.0,0.7146666666666667,357.3333333333333,0.7146666666666667,0.9907673123940274,0.9758429349854452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16218190940697974,0.872620314132836,0.9468189839348509,0.0,0.0,0.9628948116493657,0.0,0.0,0.0,0.0,0.0
P0,22,500.0,0.6713333333333334,335.6666666666667,0.6713333333333334,0.9910635276177834,0.9731421895122742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16287266797894753,0.8707082572129178,0.9552763442472001,0.0,0.0,0.9545201355803646,0.0,0.0,0.0,0.0,0.0
P0,33,500.0,0.706,353.0,0.706,0.9886402836268943,0.9668794632389283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1583024198774343,0.8746827325717743,0.9408992412789762,0.0,0.0,0.9669985375162345,0.0,0.0,0.0,0.0,0.0
P0.1,11,500.0,0.7126666666666667,356.3333333333333,0.7126666666666667,0.990635377790479,0.9737824473217342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16098819585828875,0.8709988226598137,0.9408860947624992,0.0,0.0,0.9673189200825837,0.0,0.0,0.0,0.0,0.0
P0.1,22,500.0,0.6366666666666667,318.3333333333333,0.6366666666666667,0.993530701754386,0.9718171940425081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.15910518966241405,0.8716256030022455,0.9599332137161084,0.0,0.0010416666666666667,0.9681007181851911,0.0,0.0,0.0,0.0010416666666666667,0.0
P0.1,33,500.0,0.6826666666666666,341.3333333333333,0.6826666666666666,0.9902140795089217,0.9667934574225959,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16166004480403146,0.869362594145969,0.954927411413148,0.0,0.0009606147934678194,0.9697925761253895,0.0,0.0,0.0,0.0009606147934678194,0.0
P1,11,500.0,0.7040000000000001,352.0,0.7040000000000001,0.9878659384906222,0.968924027705576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.15901657351801016,0.8712931221448525,0.9487116269835774,0.0009132420091324201,0.007556681711404968,0.969636673204032,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.011209649747934647,0.0
P1,22,500.0,0.6626666666666666,331.3333333333333,0.6626666666666666,0.9890158679770202,0.9649901458936814,0.3333333333333333,0.0006666666666666666,0.3333333333333333,0.0006666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16008635311585326,0.8714096705807353,0.9527551571330681,0.0009578544061302681,0.003980662143036652,0.9589145492462822,0.00101010101010101,0.0,0.0,0.00594861755926793,0.0009578544061302681
P1,33,500.0,0.6866666666666666,343.3333333333333,0.6866666666666666,0.9922082463962499,0.9640758839248679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16204629447600202,0.8715844001832419,0.9542953920298256,0.0019351758229412426,0.005836719390651352,0.9630954593061968,0.0,0.0009775171065493646,0.000966183574879227,0.009715595895021186,0.0009689922480620155
P5,11,500.0,0.6986666666666667,349.3333333333333,0.6986666666666667,0.9829601973405419,0.9714605608860697,1.3333333333333333,0.0026666666666666666,1.3333333333333333,0.0026666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16059749075453214,0.8738481227564779,0.9341469244168258,0.018262475410494198,0.02853096381941378,0.9426476820069497,0.003736266677372302,0.0037447419718887862,0.004710925546768013,0.05524910674856478,0.008721078057462497
P5,22,500.0,0.6946666666666667,347.3333333333333,0.6946666666666667,0.98471451829025,0.9674249611693181,1.0,0.002,1.0,0.002,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16272252123890307,0.8715761720311007,0.9517856626724036,0.010535127303679252,0.020057394127403472,0.9520456237236488,0.0019355019944940724,0.0009442870632672333,0.0028689662833972112,0.03634127677224124,0.0076661610202820385
P5,33,500.0,0.7106666666666667,355.3333333333333,0.7106666666666667,0.9879118005179125,0.9614484545511711,1.0,0.002,1.0,0.002,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.15884526498275145,0.8730258480853745,0.9335295359522018,0.016218173529294073,0.023331253965804055,0.9447182992917288,0.007478398872711266,0.0028962874357611203,0.000896057347670251,0.04887085341244934,0.010559578524349321
