model,fraction,metric,mean,std
GP-MoLFormer,25,validity,0.9659999999999999,0.008000000000000007
GP-MoLFormer,25,unique_valid_yield,0.9659999999999999,0.008000000000000007
GP-MoLFormer,25,chemically_sane_fraction,0.9392456393715788,0.0044020916713505736
GP-MoLFormer,25,neutral_fraction,0.9654890948037119,0.003376589205123047
GP-MoLFormer,25,strict_flp_yield,0.001,0.0
GP-MoLFormer,25,novel_flp_yield,0.001,0.0
GP-MoLFormer,25,final_candidate_yield,0.0,0.0
GP-MoLFormer,25,near_duplicate_095,0.0,0.0
GP-MoLFormer,25,mean_snn_to_train,0.1341125729384445,0.00093111527754252
GP-MoLFormer,25,internal_diversity,0.8934578663348943,0.0010859641009926136
GP-MoLFormer,25,scaffold_novelty_vs_train,1.0,0.0
GP-MoLFormer,100,validity,0.9659999999999999,0.008000000000000007
GP-MoLFormer,100,unique_valid_yield,0.9659999999999999,0.008000000000000007
GP-MoLFormer,100,chemically_sane_fraction,0.9392456393715788,0.0044020916713505736
GP-MoLFormer,100,neutral_fraction,0.9654890948037119,0.003376589205123047
GP-MoLFormer,100,strict_flp_yield,0.001,0.0
GP-MoLFormer,100,novel_flp_yield,0.001,0.0
GP-MoLFormer,100,final_candidate_yield,0.0,0.0
GP-MoLFormer,100,near_duplicate_095,0.0,0.0
GP-MoLFormer,100,mean_snn_to_train,0.14577348863754494,0.0004967822479551626
GP-MoLFormer,100,internal_diversity,0.8934578663348943,0.0010859641009926136
GP-MoLFormer,100,scaffold_novelty_vs_train,0.9661510781068366,0.003610628195036658
MolGPT,25,validity,0.9996666666666667,0.0005773502691896344
MolGPT,25,unique_valid_yield,0.9996666666666667,0.0005773502691896344
MolGPT,25,chemically_sane_fraction,1.0,0.0
MolGPT,25,neutral_fraction,1.0,0.0
MolGPT,25,strict_flp_yield,0.0,0.0
MolGPT,25,novel_flp_yield,0.0,0.0
MolGPT,25,final_candidate_yield,0.0,0.0
MolGPT,25,near_duplicate_095,0.0,0.0
MolGPT,25,mean_snn_to_train,0.11589054283360771,0.0002322246201883093
MolGPT,25,internal_diversity,0.8381434185658625,0.00034680119974514153
MolGPT,25,scaffold_novelty_vs_train,1.0,0.0
MolGPT,100,validity,0.9996666666666667,0.0005773502691896344
MolGPT,100,unique_valid_yield,0.9996666666666667,0.0005773502691896344
MolGPT,100,chemically_sane_fraction,1.0,0.0
MolGPT,100,neutral_fraction,1.0,0.0
MolGPT,100,strict_flp_yield,0.0,0.0
MolGPT,100,novel_flp_yield,0.0,0.0
MolGPT,100,final_candidate_yield,0.0,0.0
MolGPT,100,near_duplicate_095,0.0,0.0
MolGPT,100,mean_snn_to_train,0.12178204749436865,0.00032758251402255877
MolGPT,100,internal_diversity,0.8381434185658625,0.00034680119974514153
MolGPT,100,scaffold_novelty_vs_train,0.9969913025515557,0.0020100415060450997
REINVENT,25,validity,0.9733333333333333,0.005507570547286077
REINVENT,25,unique_valid_yield,0.9733333333333333,0.005507570547286077
REINVENT,25,chemically_sane_fraction,0.9893775704396975,0.0016317342784771115
REINVENT,25,neutral_fraction,0.9911028618961933,0.0048221223493829825
REINVENT,25,strict_flp_yield,0.0026666666666666666,0.0015275252316519468
REINVENT,25,novel_flp_yield,0.0026666666666666666,0.0015275252316519468
REINVENT,25,final_candidate_yield,0.0,0.0
REINVENT,25,near_duplicate_095,0.0,0.0
REINVENT,25,mean_snn_to_train,0.14000137545457766,0.0012347511697726524
REINVENT,25,internal_diversity,0.8970053373935776,0.0004799419203194435
REINVENT,25,scaffold_novelty_vs_train,0.9996446339729922,0.0006155120140614021
REINVENT,100,validity,0.9733333333333333,0.005507570547286077
REINVENT,100,unique_valid_yield,0.9733333333333333,0.005507570547286077
REINVENT,100,chemically_sane_fraction,0.9893775704396975,0.0016317342784771115
REINVENT,100,neutral_fraction,0.9911028618961933,0.0048221223493829825
REINVENT,100,strict_flp_yield,0.0026666666666666666,0.0015275252316519468
REINVENT,100,novel_flp_yield,0.0026666666666666666,0.0015275252316519468
REINVENT,100,final_candidate_yield,0.0,0.0
REINVENT,100,near_duplicate_095,0.0,0.0
REINVENT,100,mean_snn_to_train,0.15346561042247986,0.0018353399607668724
REINVENT,100,internal_diversity,0.8970053373935776,0.0004799419203194435
REINVENT,100,scaffold_novelty_vs_train,0.929854522426992,0.01239381932968047
