evaluator_version,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train,model,fraction,generation_seed
2.1.1,1000,0.974,974,0.974,0.9425051334702259,0.9681724845995893,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.13459913364702222,0.8923898797328419,1.0,GP-MoLFormer,25,101
2.1.1,1000,0.974,974,0.974,0.9425051334702259,0.9681724845995893,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.14631957130986772,0.8923898797328419,0.9621848739495799,GP-MoLFormer,100,101
2.1.1,1000,0.966,966,0.966,0.9409937888198758,0.9616977225672878,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1330389795903248,0.8945609567208033,1.0,GP-MoLFormer,25,202
2.1.1,1000,0.966,966,0.966,0.9409937888198758,0.9616977225672878,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.14534833586813478,0.8945609567208033,0.9692470837751855,GP-MoLFormer,100,202
2.1.1,1000,0.958,958,0.958,0.9342379958246346,0.9665970772442589,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1346996055779865,0.8934227625510379,1.0,GP-MoLFormer,25,303
2.1.1,1000,0.958,958,0.958,0.9342379958246346,0.9665970772442589,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.14565255873463234,0.8934227625510379,0.9670212765957447,GP-MoLFormer,100,303
2.1.1,1000,1.0,1000,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.11594808213807602,0.8377644461836555,1.0,MolGPT,25,101
2.1.1,1000,1.0,1000,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.12173825086702206,0.8377644461836555,0.999,MolGPT,100,101
2.1.1,1000,0.999,999,0.999,1.0,1.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.11563495784778127,0.8382208510988913,1.0,MolGPT,25,202
2.1.1,1000,0.999,999,0.999,1.0,1.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.12147856649851514,0.8382208510988913,0.9949799196787149,MolGPT,100,202
2.1.1,1000,1.0,1000,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.11608858851496585,0.8384449584150407,1.0,MolGPT,25,303
2.1.1,1000,1.0,1000,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.12212932511756874,0.8384449584150407,0.996993987975952,MolGPT,100,303
2.1.1,1000,0.976,976,0.976,0.9897540983606558,0.9948770491803278,3,0.003,3,0.003,0,0.0,1.0,1.0,1.0,1.0,0.0,0.14115337675461756,0.8972105319326558,1.0,REINVENT,25,101
2.1.1,1000,0.976,976,0.976,0.9897540983606558,0.9948770491803278,3,0.003,3,0.003,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15508445455936928,0.8972105319326558,0.9188034188034188,REINVENT,100,101
2.1.1,1000,0.977,977,0.977,0.9907881269191402,0.9856704196519959,4,0.004,4,0.004,0,0.0,1.0,1.0,1.0,1.0,0.0,0.13869785834097442,0.897348571535818,0.9989339019189766,REINVENT,25,202
2.1.1,1000,0.977,977,0.977,0.9907881269191402,0.9856704196519959,4,0.004,4,0.004,0,0.0,1.0,1.0,1.0,1.0,0.0,0.1514717135687688,0.897348571535818,0.9275053304904051,REINVENT,100,202
2.1.1,1000,0.967,967,0.967,0.9875904860392968,0.9927611168562565,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.140152891268141,0.896456908712259,1.0,REINVENT,25,303
2.1.1,1000,0.967,967,0.967,0.9875904860392968,0.9927611168562565,1,0.001,1,0.001,0,0.0,1.0,1.0,1.0,1.0,0.0,0.15384066313930153,0.896456908712259,0.943254817987152,REINVENT,100,303
