evaluator_version,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train,family,training_seed,generation_seed
2.1.1,500,0.242,119,0.238,0.8739495798319328,0.8907563025210085,43,0.086,36,0.072,23,0.046,0.9495798319327731,0.9747899159663865,0.9327731092436975,0.9327731092436975,0.03361344537815126,0.42438256279653874,0.8511193833000074,0.7627118644067796,P0,11,101
2.1.1,500,0.268,133,0.266,0.8646616541353384,0.8947368421052632,44,0.088,38,0.076,23,0.046,0.9548872180451128,0.9924812030075187,0.9473684210526315,0.9473684210526315,0.045112781954887216,0.4140091488943957,0.8596177687285996,0.8120300751879699,P0,11,202
2.1.1,500,0.268,134,0.268,0.8432835820895522,0.8955223880597015,40,0.08,33,0.066,16,0.032,0.9552238805970149,0.9925373134328358,0.9477611940298507,0.9477611940298507,0.014925373134328358,0.39066890559828243,0.8720942789365311,0.8244274809160306,P0,11,303
2.1.1,500,0.2,99,0.198,0.898989898989899,0.8888888888888888,44,0.088,40,0.08,23,0.046,0.9595959595959596,0.98989898989899,0.9494949494949495,0.9494949494949495,0.04040404040404041,0.4189122918810129,0.8502342156128058,0.7755102040816326,P0,22,101
2.1.1,500,0.24,119,0.238,0.7983193277310925,0.8571428571428571,39,0.078,36,0.072,24,0.048,0.9663865546218487,1.0,0.9663865546218487,0.9663865546218487,0.03361344537815126,0.39249602227138225,0.8598751654431462,0.8151260504201681,P0,22,202
2.1.1,500,0.196,98,0.196,0.8979591836734694,0.8979591836734694,35,0.07,29,0.058,17,0.034,0.9387755102040817,0.9897959183673469,0.9285714285714286,0.9285714285714286,0.061224489795918366,0.4183942887795802,0.8578781797547631,0.8571428571428571,P0,22,303
2.1.1,500,0.254,125,0.25,0.8,0.88,58,0.116,48,0.096,30,0.06,0.912,1.0,0.912,0.912,0.072,0.4538966309157798,0.8530802530883307,0.7096774193548387,P0,33,101
2.1.1,500,0.248,123,0.246,0.7398373983739838,0.8211382113821138,43,0.086,35,0.07,23,0.046,0.943089430894309,0.991869918699187,0.9349593495934959,0.9349593495934959,0.032520325203252036,0.3964905610696695,0.8687505589154928,0.8524590163934426,P0,33,202
2.1.1,500,0.246,121,0.242,0.8099173553719008,0.8429752066115702,44,0.088,32,0.064,18,0.036,0.9090909090909091,0.9917355371900827,0.9008264462809917,0.9008264462809917,0.08264462809917356,0.4241863764192225,0.8570153720783136,0.7711864406779662,P0,33,303
2.1.1,500,0.212,104,0.208,0.8461538461538461,0.8846153846153846,40,0.08,36,0.072,22,0.044,0.9711538461538461,0.9903846153846154,0.9615384615384616,0.9615384615384616,0.028846153846153848,0.3783938188594404,0.8644812423669245,0.8529411764705882,P0,44,101
2.1.1,500,0.214,106,0.212,0.8113207547169812,0.8207547169811321,37,0.074,35,0.07,24,0.048,0.9716981132075472,1.0,0.9716981132075472,0.9716981132075472,0.02830188679245283,0.39058656190741164,0.8660919020454236,0.819047619047619,P0,44,202
2.1.1,500,0.188,93,0.186,0.7634408602150538,0.8064516129032258,33,0.066,29,0.058,18,0.036,0.956989247311828,1.0,0.956989247311828,0.956989247311828,0.03225806451612903,0.3818362092942914,0.862463590364918,0.8478260869565217,P0,44,303
2.1.1,500,0.192,96,0.192,0.8541666666666666,0.875,34,0.068,32,0.064,19,0.038,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9791666666666666,0.010416666666666666,0.38035976665606147,0.862546093474984,0.8421052631578947,P0,55,101
2.1.1,500,0.188,94,0.188,0.8404255319148937,0.8297872340425532,35,0.07,29,0.058,15,0.03,0.9574468085106383,0.9787234042553191,0.9361702127659575,0.9361702127659575,0.02127659574468085,0.3951145687105134,0.8522416250430934,0.8279569892473119,P0,55,202
2.1.1,500,0.212,106,0.212,0.8018867924528302,0.839622641509434,34,0.068,33,0.066,16,0.032,0.9905660377358491,1.0,0.9905660377358491,0.9905660377358491,0.009433962264150943,0.3723146290473461,0.8633289008863771,0.8076923076923077,P0,55,303
2.1.1,500,0.252,126,0.252,0.8492063492063492,0.8968253968253969,53,0.106,48,0.096,31,0.062,0.9603174603174603,0.9920634920634921,0.9603174603174603,0.9603174603174603,0.031746031746031744,0.4161561367770565,0.8583221506135912,0.7642276422764228,P0,66,101
2.1.1,500,0.262,131,0.262,0.8091603053435115,0.8244274809160306,51,0.102,42,0.084,25,0.05,0.9312977099236641,0.9847328244274809,0.916030534351145,0.916030534351145,0.05343511450381679,0.41484833079869327,0.8597906918633436,0.78125,P0,66,202
2.1.1,500,0.268,133,0.266,0.7969924812030075,0.8646616541353384,33,0.066,29,0.058,18,0.036,0.9699248120300752,1.0,0.9699248120300752,0.9699248120300752,0.03007518796992481,0.39451658142577545,0.8670437283184792,0.8461538461538461,P0,66,303
2.1.1,500,0.242,118,0.236,0.8728813559322034,0.8898305084745762,49,0.098,42,0.084,26,0.052,0.9322033898305084,1.0,0.9322033898305084,0.9322033898305084,0.05084745762711865,0.4384139562315572,0.8620473033335432,0.7350427350427351,P5,11,101
2.1.1,500,0.278,139,0.278,0.9280575539568345,0.8920863309352518,61,0.122,51,0.102,29,0.058,0.935251798561151,0.9856115107913669,0.920863309352518,0.920863309352518,0.050359712230215826,0.4401287888171651,0.8597009822861166,0.7608695652173914,P5,11,202
2.1.1,500,0.29,144,0.288,0.8819444444444444,0.8680555555555556,56,0.112,49,0.098,33,0.066,0.9583333333333334,0.9930555555555556,0.9513888888888888,0.9513888888888888,0.04861111111111111,0.42322926767603886,0.8552048584134158,0.7622377622377622,P5,11,303
2.1.1,500,0.264,129,0.258,0.9534883720930233,0.9224806201550387,61,0.122,51,0.102,28,0.056,0.937984496124031,0.9844961240310077,0.9224806201550387,0.9224806201550387,0.03875968992248062,0.43171529018937693,0.8491796733750774,0.7109375,P5,22,101
2.1.1,500,0.268,133,0.266,0.8721804511278195,0.849624060150376,58,0.116,50,0.1,30,0.06,0.9624060150375939,0.9774436090225563,0.9398496240601504,0.9398496240601504,0.022556390977443608,0.4054465248160526,0.8566386402572373,0.8045112781954887,P5,22,202
2.1.1,500,0.234,116,0.232,0.896551724137931,0.8706896551724138,48,0.096,40,0.08,24,0.048,0.9568965517241379,0.9741379310344828,0.9310344827586207,0.9310344827586207,0.04310344827586207,0.4219321155157145,0.8531302140890472,0.7672413793103449,P5,22,303
2.1.1,500,0.318,157,0.314,0.9171974522292994,0.910828025477707,70,0.14,65,0.13,45,0.09,0.9681528662420382,0.9936305732484076,0.9681528662420382,0.9681528662420382,0.025477707006369428,0.4312348806055335,0.8519499986455719,0.8076923076923077,P5,33,101
2.1.1,500,0.278,138,0.276,0.9565217391304348,0.9420289855072463,72,0.144,62,0.124,36,0.072,0.9347826086956522,0.9927536231884058,0.927536231884058,0.927536231884058,0.050724637681159424,0.42495260972188426,0.8544843363635664,0.8029197080291971,P5,33,202
2.1.1,500,0.28,139,0.278,0.935251798561151,0.9136690647482014,71,0.142,57,0.114,40,0.08,0.9136690647482014,0.9640287769784173,0.8848920863309353,0.8848920863309353,0.07194244604316546,0.45598028346811303,0.8555219633340854,0.7536231884057971,P5,33,303
2.1.1,500,0.288,143,0.286,0.916083916083916,0.9090909090909091,65,0.13,60,0.12,36,0.072,0.972027972027972,0.993006993006993,0.965034965034965,0.965034965034965,0.03496503496503497,0.41986652940880365,0.857634892442282,0.7902097902097902,P5,44,101
2.1.1,500,0.338,169,0.338,0.9053254437869822,0.893491124260355,75,0.15,64,0.128,40,0.08,0.9526627218934911,0.9822485207100592,0.9349112426035503,0.9349112426035503,0.029585798816568046,0.4286513600333632,0.8474188606071799,0.7321428571428571,P5,44,202
2.1.1,500,0.31,155,0.31,0.9225806451612903,0.8774193548387097,70,0.14,64,0.128,35,0.07,0.967741935483871,0.9935483870967742,0.9612903225806452,0.9612903225806452,0.03225806451612903,0.4146095212006777,0.846981245992904,0.7870967741935484,P5,44,303
2.1.1,500,0.26,127,0.254,0.937007874015748,0.905511811023622,64,0.128,57,0.114,45,0.09,0.952755905511811,0.9921259842519685,0.9448818897637795,0.9448818897637795,0.047244094488188976,0.4494392880705032,0.8455556257539696,0.7637795275590551,P5,55,101
2.1.1,500,0.308,154,0.308,0.9090909090909091,0.8766233766233766,67,0.134,59,0.118,36,0.072,0.9415584415584416,0.9935064935064936,0.935064935064935,0.935064935064935,0.03896103896103896,0.4327902157196882,0.8549194737063702,0.7727272727272727,P5,55,202
2.1.1,500,0.274,134,0.268,0.8955223880597015,0.9029850746268657,55,0.11,49,0.098,35,0.07,0.9477611940298507,0.9925373134328358,0.9402985074626866,0.9402985074626866,0.03731343283582089,0.44410184324690755,0.8491364301928831,0.753731343283582,P5,55,303
2.1.1,500,0.264,126,0.252,0.8809523809523809,0.8412698412698413,49,0.098,40,0.08,25,0.05,0.9206349206349206,0.9841269841269841,0.9047619047619048,0.9047619047619048,0.07936507936507936,0.45638475878133045,0.8448162521575298,0.768,P5,66,101
2.1.1,500,0.272,135,0.27,0.9333333333333333,0.9111111111111111,61,0.122,50,0.1,32,0.064,0.9185185185185185,0.9851851851851852,0.9037037037037037,0.9037037037037037,0.07407407407407407,0.46519814846641877,0.846689139519401,0.7185185185185186,P5,66,202
2.1.1,500,0.288,142,0.284,0.8732394366197183,0.8943661971830986,60,0.12,47,0.094,31,0.062,0.9225352112676056,0.9647887323943662,0.8943661971830986,0.8943661971830986,0.07042253521126761,0.4505583616764982,0.8530439406656349,0.7801418439716312,P5,66,303
