review_id,model,fraction,canonical_smiles,snn_to_train,LA_types,LB_types,min_LA_LB_bonds,training_seed_count,candidate_instances,decision,comment
E003,GP-MoLFormer,25,CCC1(CC)CCC(CC)(CC)N1Cc1ccccc1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,0.6444444444444445,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_amine'],4.0,1,1,accept,
E004,GP-MoLFormer,25,COB(OC)c1ccccc1P(C1CCCCC1)C(C)(C)C,0.4130434782608695,"['LA_B_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],3.0,1,1,accept,
E006,GP-MoLFormer,100,Clc1c(Cl)c(Cl)c(B(CP(CCP(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.5675675675675675,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],2.0,1,1,accept,
E013,GP-MoLFormer,100,CN(CCP(c1ccccc1)c1ccccc1)CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,0.5609756097560976,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']","['LB_amine', 'LB_phosphine']",2.0,1,1,accept,
E021,MolGPT,25,CC1(C)CC(N2CCCCC2)C1B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,0.5384615384615384,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_amine'],3.0,1,1,accept,
E025,MolGPT,25,CC(C)(C)P(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.6206896551724138,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],2.0,2,3,accept,
E001,MolGPT,100,CCN(CC)Cc1ccccc1B(Cl)Cl,0.4242424242424242,"['LA_B_aryl', 'LA_B_tricoordinate']",['LB_amine'],4.0,1,1,accept,
E015,MolGPT,100,Cc1cc(C)c(P(c2ccccc2)c2ccccc2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,0.6170212765957447,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],3.0,3,3,accept,
E005,REINVENT,25,Cc1cc(C)c(P(c2ccccc2B(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,0.6486486486486487,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_tricoordinate']",['LB_phosphine'],3.0,1,1,accept,
E008,REINVENT,25,Cc1cc(C)c(P2CC3CCCC2C3B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,0.4339622641509434,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],3.0,1,1,accept,
E002,REINVENT,100,Cc1cc(C)c(B(c2ccc(CC(C)C)cc2P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,0.4909090909090909,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],3.0,1,1,accept,
E009,REINVENT,100,CC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)=C(CP(C(C)(C)C)C(C)(C)C)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.4761904761904761,"['LA_B_aryl', 'LA_B_diaryl', 'LA_B_polyhalogenated_aryl', 'LA_B_tricoordinate']",['LB_phosphine'],4.0,1,1,accept,
