family,fraction,final_yield_mean,final_yield_sd,validity_mean,validity_sd,strict_flp_yield_mean,strict_flp_yield_sd,validation_bpc_mean,validation_bpc_sd
P0,25,0.012222222222222202,0.007897491397296374,0.15911111111111106,0.005178302310102685,0.032666666666666636,0.013920408678547375,0.3900171798360317,0.011834311926180192
P0,50,0.04199999999999996,0.012666666666666649,0.244,0.037100464207937424,0.09088888888888884,0.022334162505337287,0.24329844162519634,0.012518858941444935
P0,100,0.04377777777777773,0.0031505437508350742,0.2402222222222222,0.024947351971108467,0.0866666666666666,0.00916515138991168,0.22508205205941612,0.009200883647284944
P1,25,0.01888888888888887,0.011931905563252293,0.1804444444444444,0.04415293287519505,0.05355555555555553,0.024150761049276704,0.3444532524776513,0.0182663629151607
P1,50,0.0375555555555555,0.009714441330841938,0.23844444444444438,0.037084488121844957,0.08888888888888884,0.012863960567472292,0.22288169921704784,0.0028189995885034586
P1,100,0.05266666666666667,0.00611010092660779,0.25399999999999995,0.012128936932440151,0.09999999999999996,0.01462114146630753,0.22172478413766428,0.014994071188854086
P5,25,0.017555555555555533,0.004337604732431825,0.1995555555555555,0.013537328364904906,0.047111111111111104,0.007002645002928326,0.3482139098780983,0.016022788745496574
P5,50,0.04888888888888887,0.021810632813004417,0.2893333333333333,0.04107445813533163,0.11399999999999995,0.03406529677610989,0.22154751213601498,0.008966921291659607
P5,100,0.07133333333333326,0.014468356276140466,0.2871111111111111,0.029637313818400794,0.1271111111111111,0.015352644843925236,0.21128147969393316,0.0067824243762296685
scratch,25,0.0,0.0,0.009777777777777734,0.0034210676262978854,0.0,0.0,1.0331780946348104,0.009369374739896056
scratch,50,0.0,0.0,0.0144444444444444,0.0038490017945974663,0.0,0.0,1.029548939026643,0.023075050533414406
scratch,100,0.0,0.0,0.009999999999999966,0.003055050463303893,0.00022222222222219998,0.000384900179459712,1.075461977418341,0.04090959444459925
