fraction,metric,seeds,p5_wins,mean_improvement,median_improvement,one_sided_sign_test_p
50,validity,6,4,0.0462222222222222,0.0446666666666666,0.34375
50,unique_valid_yield,6,5,0.0455555555555555,0.0453333333333333,0.109375
50,strict_flp_yield,6,4,0.0264444444444444,0.036,0.34375
50,final_candidate_yield,6,4,0.0117777777777777,0.017,0.34375
50,validation_bpc,6,6,0.0192103539865544,0.0212738703043265,0.015625
100,validity,6,6,0.0535555555555555,0.049,0.015625
100,unique_valid_yield,6,6,0.0518888888888889,0.049,0.015625
100,strict_flp_yield,6,6,0.0428888888888889,0.0436666666666667,0.015625
100,final_candidate_yield,6,6,0.0277777777777777,0.0339999999999999,0.015625
100,validation_bpc,6,6,0.0187161117527734,0.015209894175241,0.015625
