reference_index,smiles,canonical_smiles,curation_status,parse_ok,canonical_roundtrip_ok,canonical_audit,molecular_formula,molecular_weight,heavy_atoms,components,formal_charge,radical_electrons,stereocenters,elements,B,P,N,Al,Si,canonical_match
0,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1,C36H22BF14P,762.33,52,1,0,0,0,B;C;F;P,1,1,0,0,0,True
1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(F)c2F)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c(F)c2F)c(C)c1,C36H22BCl10F4P,926.88,52,1,0,0,0,B;C;Cl;F;P,1,1,0,0,0,True
2,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(P(c3ccccc3)c3ccccc3)c(F)c2F)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(P(c3ccccc3)c3ccccc3)c(F)c2F)c(F)c1F,keep,True,True,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(P(c3ccccc3)c3ccccc3)c(F)c2F)c(F)c1F,C30H10BF14P,678.168,46,1,0,0,0,B;C;F;P,1,1,0,0,0,True
3,Fc1c(F)c(P(c2ccccc2)c2ccccc2)c(F)c(F)c1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Fc1c(F)c(P(c2ccccc2)c2ccccc2)c(F)c(F)c1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep,True,True,Fc1c(F)c(P(c2ccccc2)c2ccccc2)c(F)c(F)c1B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C30H10BCl10F4P,842.718,46,1,0,0,0,B;C;Cl;F;P,1,1,0,0,0,True
4,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep,True,True,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C31H27BF15P,726.313,48,1,0,0,1,B;C;F;P,1,1,0,0,0,True
5,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep,True,True,CC(C)(C)[P+]1(C(C)(C)C)CCCC1C[B-](c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,C31H27BCl15P,973.138,48,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
6,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CCC[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CCC[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CCC[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C33H28BF10P,656.353,45,1,0,0,0,B;C;F;P,1,1,0,0,0,True
7,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CCC[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CCC[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep,True,True,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)CCC[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,C33H28BCl10P,820.903,45,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
8,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CCC[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CCC[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,keep,True,True,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CCC[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,C27H16BF10P,572.191,39,1,0,0,0,B;C;F;P,1,1,0,0,0,True
9,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CCC[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CCC[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,keep,True,True,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CCC[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,C27H16BCl10P,736.741,39,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
10,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C33H28BF10P,656.353,45,1,0,0,1,B;C;F;P,1,1,0,0,0,True
11,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep,True,True,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(C)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,C33H28BCl10P,820.903,45,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
12,CC1C[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P+]1(c1ccccc1)c1ccccc1,CC1C[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P+]1(c1ccccc1)c1ccccc1,keep,True,True,CC1C[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[P+]1(c1ccccc1)c1ccccc1,C27H16BF10P,572.191,39,1,0,0,1,B;C;F;P,1,1,0,0,0,True
13,CC1C[B-](c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)[P+]1(c1ccccc1)c1ccccc1,CC1C[B-](c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)[P+]1(c1ccccc1)c1ccccc1,keep,True,True,CC1C[B-](c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)[P+]1(c1ccccc1)c1ccccc1,C27H16BCl10P,736.741,39,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
14,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep,True,True,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,C38H30BF10P,718.424,50,1,0,0,1,B;C;F;P,1,1,0,0,0,True
15,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep,True,True,Cc1cc(C)c([P+]2(c3c(C)cc(C)cc3C)C(c3ccccc3)C[B-]2(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,C38H30BCl10P,882.974,50,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
16,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,keep,True,True,Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(F)c1F,C32H18BF10P,634.262,44,1,0,0,1,B;C;F;P,1,1,0,0,0,True
17,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,keep,True,True,Clc1c(Cl)c(Cl)c([B-]2(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)CC(c3ccccc3)[P+]2(c2ccccc2)c2ccccc2)c(Cl)c1Cl,C32H18BCl10P,798.812,44,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
18,Cc1cc(C)c(C2C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(C2C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(C2C[B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,C41H36BF10P,760.505,53,1,0,0,1,B;C;F;P,1,1,0,0,0,True
19,Cc1cc(C)c(C2C[B-](c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(C2C[B-](c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,keep,True,True,Cc1cc(C)c(C2C[B-](c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)[P+]2(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,C41H36BCl10P,925.055,53,1,0,0,1,B;C;Cl;P,1,1,0,0,0,True
