token,P0_frequency,P5_frequency,frequency_difference,absolute_difference
C,0.19556620869343144,0.19387512713850102,-0.0016910815549304181,0.0016910815549304181
O,0.058497375506356114,0.05980003785694357,0.001302662350587458,0.001302662350587458
N,0.04110840707363525,0.03995657665844168,-0.0011518304151935735,0.0011518304151935735
=,0.04463082530272692,0.043735814265814875,-0.000895011036912044,0.000895011036912044
c,0.2443331245873758,0.24498013190120357,0.0006470073138277743,0.0006470073138277743
P,0.0,0.0006184886651757238,0.0006184886651757238,0.0006184886651757238
B,0.0,0.0005043061423740517,0.0005043061423740517,0.0005043061423740517
(,0.10160556658905483,0.10207611692426266,0.00047055033520783385,0.00047055033520783385
),0.10160556658905483,0.10207611692426266,0.00047055033520783385,0.00047055033520783385
F,0.008803668313993767,0.009183027447643405,0.0003793591336496375,0.0003793591336496375
S,0.00721939517104037,0.006843645045956766,-0.0003757501250836043,0.0003757501250836043
n,0.027261384352475472,0.026945546150978522,-0.0003158382014969499,0.0003158382014969499
[Si],0.0,0.00014476712712354855,0.00014476712712354855,0.00014476712712354855
[O-],0.0016737599539219336,0.0015460517484708548,-0.0001277082054510787,0.0001277082054510787
Cl,0.004889851414536869,0.004785301175094481,-0.00010455023944238792,0.00010455023944238792
s,0.004357175653610309,0.004255847691389108,-0.0001013279622212003,0.0001013279622212003
[CH2],0.0,9.804064829845952e-05,9.804064829845952e-05,9.804064829845952e-05
[CH3],0.0,8.32580895428859e-05,8.32580895428859e-05,8.32580895428859e-05
[N+],0.001279984024821298,0.0012111503311463077,-6.883369367499041e-05,6.883369367499041e-05
[O],0.0,6.72861295081282e-05,6.72861295081282e-05,6.72861295081282e-05
[Ge],0.0,5.930014949074935e-05,5.930014949074935e-05,5.930014949074935e-05
[c],0.0,5.590186012165196e-05,5.590186012165196e-05,5.590186012165196e-05
#,0.0018007734920708232,0.0017463809067791455,-5.439258529167765e-05,5.439258529167765e-05
o,0.003447194970535576,0.0033935317639806474,-5.366320655492878e-05,5.366320655492878e-05
[Al],0.0,4.400784732981112e-05,4.400784732981112e-05,4.400784732981112e-05
3,0.017245993300205667,0.017208937365109152,-3.7055935096515225e-05,3.7055935096515225e-05
Br,0.0013745649616514206,0.001345552675694109,-2.9012285957311567e-05,2.9012285957311567e-05
[CH],0.0,2.752614388968881e-05,2.752614388968881e-05,2.752614388968881e-05
[C],0.0,2.361811111522682e-05,2.361811111522682e-05,2.361811111522682e-05
1,0.07480621945222525,0.07478411517210466,-2.2104280120588404e-05,2.2104280120588404e-05
[B-],0.0,2.1749051962223256e-05,2.1749051962223256e-05,2.1749051962223256e-05
[NH+],0.00019901051699264545,0.00017807036294070292,-2.0940154051942534e-05,2.0940154051942534e-05
[AlH2],0.0,1.9200334935400218e-05,1.9200334935400218e-05,1.9200334935400218e-05
[Cl],0.0,1.7841019187761264e-05,1.7841019187761264e-05,1.7841019187761264e-05
[NH2+],0.00010290134240404705,8.648646444352842e-05,-1.6414877960518626e-05,1.6414877960518626e-05
[nH],0.002094195141698205,0.0020807725806983282,-1.3422560999876675e-05,1.3422560999876675e-05
[NH3+],5.518636350052028e-05,4.281844605062703e-05,-1.236791744989325e-05,1.236791744989325e-05
