cohort,fraction,metric,role,seeds,P0_mean,P0_sd,P5_mean,P5_sd,mean_improvement,improvement_ci_low,improvement_ci_high,positive_pairs,directional_sign_test_p_one_sided,directional_sign_flip_p_one_sided,reported_sign_test_p,reported_sign_flip_p,reported_test_sidedness
initial,50,validity,secondary,3,0.244,0.03710046420793742,0.2893333333333333,0.04107445813533163,0.045333333333333316,-0.07940237587215895,0.17006904253882557,2,0.5,0.25,0.5,0.25,one-sided directional diagnostic
initial,50,strict_flp_yield,primary,3,0.09088888888888884,0.02233416250533729,0.11399999999999995,0.03406529677610989,0.023111111111111127,-0.06391384774048056,0.11013606996270281,2,0.5,0.25,0.5,0.25,one-sided directional diagnostic
initial,50,final_candidate_yield,secondary,3,0.04199999999999996,0.012666666666666649,0.04888888888888887,0.021810632813004417,0.006888888888888897,-0.03662359053690714,0.05040136831468493,2,0.5,0.25,0.5,0.25,one-sided directional diagnostic
initial,50,validation_bpc,secondary,3,0.24329844162519634,0.012518858941444933,0.22154751213601498,0.008966921291659605,0.021750929489181364,0.012146312581138179,0.03135554639722455,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
initial,100,validity,secondary,3,0.2402222222222222,0.024947351971108467,0.2871111111111111,0.029637313818400804,0.0468888888888889,0.030135874201736412,0.06364190357604138,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
initial,100,strict_flp_yield,primary,3,0.0866666666666666,0.009165151389911681,0.1271111111111111,0.015352644843925234,0.0404444444444445,0.023528511680925564,0.05736037720796343,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
initial,100,final_candidate_yield,secondary,3,0.04377777777777773,0.0031505437508350764,0.07133333333333326,0.014468356276140468,0.027555555555555528,-0.006276309971482229,0.061387421082593284,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
initial,100,validation_bpc,secondary,3,0.22508205205941612,0.00920088364728495,0.21128147969393316,0.006782424376229672,0.013800572365482933,0.00756940749458847,0.020031737236377394,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
additional,50,validity,secondary,3,0.25199999999999995,0.0211974841274462,0.29911111111111116,0.0441931786256322,0.04711111111111119,-0.11290826884846236,0.20713049107068474,2,0.5,0.25,0.5,0.25,one-sided directional diagnostic
additional,50,strict_flp_yield,primary,3,0.09266666666666663,0.014666666666666647,0.1224444444444444,0.02266993440497628,0.02977777777777776,-0.06296829217459955,0.12252384773015508,2,0.5,0.25,0.5,0.25,one-sided directional diagnostic
additional,50,final_candidate_yield,secondary,3,0.04044444444444443,0.002694301256218236,0.057111111111111064,0.012388764324236754,0.016666666666666632,-0.02076980056546422,0.05410313389879748,2,0.25,0.25,0.25,0.25,one-sided directional diagnostic
additional,50,validation_bpc,secondary,3,0.24011425138392914,0.008365845630261897,0.22344447290000158,0.003520991077085807,0.01666977848392756,-0.007390986694779972,0.040730543662635094,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
additional,100,validity,secondary,3,0.22888888888888884,0.02875438774891259,0.2891111111111111,0.020048090331149414,0.06022222222222226,-0.05571997555625845,0.17616442000070298,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
additional,100,strict_flp_yield,primary,3,0.08044444444444444,0.010673608852020268,0.12577777777777777,0.0134219278849258,0.04533333333333334,-0.014354935687383413,0.10502160235405009,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
additional,100,final_candidate_yield,secondary,3,0.04199999999999996,0.006429100507328636,0.06999999999999997,0.009955456348712073,0.027999999999999997,-0.012700793676388447,0.06870079367638844,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
additional,100,validation_bpc,secondary,3,0.23248138985030872,0.009437804373529908,0.20884973871024481,0.01203683432251078,0.02363165114006391,-0.024357117973091653,0.07162042025321946,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
pooled,50,validity,secondary,6,0.24799999999999997,0.027377200571115947,0.2942222222222222,0.0385323337048347,0.046222222222222255,-0.00799688889248601,0.10044133333693052,4,0.34375,0.0625,0.6875,0.125,two-sided
pooled,50,strict_flp_yield,primary,6,0.09177777777777774,0.0169268579044818,0.11822222222222217,0.026289555734944257,0.026444444444444448,-0.00775182139267774,0.06064071028156663,4,0.34375,0.0625,0.6875,0.125,two-sided
pooled,50,final_candidate_yield,secondary,6,0.0412222222222222,0.00823452532981757,0.052999999999999964,0.016491075027285394,0.011777777777777767,-0.004556102273691838,0.02811165782924737,4,0.1875,0.0625,0.375,0.125,two-sided
