cohort,family,fraction,seeds,mean_best_step,minimum_best_step,maximum_best_step,selected_at_final_step
confirmatory,P0,50,3,123.33333333333333,120,125,0.6666666666666666
confirmatory,P0,100,3,121.66666666666667,120,125,0.3333333333333333
confirmatory,P5,50,3,111.66666666666667,100,125,0.3333333333333333
confirmatory,P5,100,3,125.0,125,125,1.0
discovery,P0,25,3,66.66666666666667,60,70,0.0
discovery,P0,50,3,115.0,100,125,0.3333333333333333
discovery,P0,100,3,125.0,125,125,1.0
discovery,P1,25,3,70.0,60,80,0.0
discovery,P1,50,3,106.66666666666667,90,120,0.0
discovery,P1,100,3,123.33333333333333,120,125,0.6666666666666666
discovery,P5,25,3,60.0,50,70,0.0
discovery,P5,50,3,105.0,90,125,0.3333333333333333
discovery,P5,100,3,123.33333333333333,120,125,0.6666666666666666
discovery,scratch,25,3,125.0,125,125,1.0
discovery,scratch,50,3,125.0,125,125,1.0
discovery,scratch,100,3,125.0,125,125,1.0
